text,label,notes
Would you rather have a 15-year career where you averaged 40 points a game with three rebounds and three assists or average 0 points with a quadruple double?,question,hypothetical discussion prompt
Never scoring a point despite doing everything else would be my choice.,analysis,explains reasoning
I know the 0 points thing is ridiculous to the point where you'd have to be airballing on purpose.,reaction,humorous response
It would be hilarious after a while.,reaction,emotional/humorous response
Whichever one gets me paid more.,hot_take,preference without reasoning
40 points then.,hot_take,unsupported preference
Ill probably be more likely to win a championship wit a quadruple double. Thats insane defense.,analysis,gives reason
This sub has the dumbest posts.,reaction,emotional criticism
I'd rather ask a somewhat unique question than just make another post about who the goat is.,reaction,defensive response
Fair enough. However equally dumb.,reaction,dismissive response
"Quadruple double, I always enjoyed playing defense and chasing rebounds more anyways.",hot_take,personal preference
40 a night baby.,hot_take,unsupported preference
Ben Wallace pleeease.,reaction,joke/reference
Whichever gets more championships.,hot_take,preference
Quadruple double is 10 turnovers guaranteed from steals... championship caliber numbers right there.,analysis,detailed reasoning
2nd option is basically a Gobert/Simmons hybrid.,analysis,comparison and reasoning
Assuming I get paid the same I would pick option b. Would make me the best defender in history.,analysis,extensive reasoning
0 points is very difficult.,reaction,observation
I can't wait for next season.,reaction,emotional response
There's only been one season in NBA history with 5 BPG and one season with 4 SPG.,analysis,uses statistics
For you to average double digit assists you need to at least have a decent jumper.,analysis,basketball reasoning
I'm guessing the 0 point guy wins a lot more basketball games.,analysis,conclusion based on reasoning
Without question.,reaction,short reaction
"Every single player on the spurs not named Dylan Harper, Wemby, or Vassell should be embarrassed.",hot_take,strong opinion
Nah Wemby should be embarrassed.,hot_take,strong opinion
Yes.,reaction,short reaction
"29 point lead in the finals, yeah this is probably the biggest choke job ever.",hot_take,unsupported claim
Mitch Johnson is a complete fraud.,hot_take,strong accusation
The Refs got their ass chewed out after the first half.,hot_take,speculative claim
Worst FIX attempt I've ever seen.,hot_take,unsupported claim
14 in the 3rd and 16 in the 4th is unbelievable.,reaction,emotional response
The greatest by far I've seen in my life.,hot_take,ranking/opinion
They need a new coach.,hot_take,recommendation
This being in the Finals may just be the most historic collapse of epic proportions.,hot_take,ranking/opinion
They just lost the series with this choke.,hot_take,prediction
yes,reaction,short reaction
Worst choke ever. The reason the spurs even built the lead was not off sustainable reasons...,analysis,explanation and evidence
Someone is definitely getting fired.,hot_take,prediction
Hell yes it is. Fox... wtf was fox doing in the end??,reaction,emotional reaction
This will be the game the Spurs think about all summer.,hot_take,prediction
"Yes, choke by team missing shots, by Fox misplay, by Wemby free throws, by coach decisions.",analysis,identifies causes
"Yes, eye test and statistical measurements confirm it.",analysis,references evidence
This is not the same spurs team I watched growing up.,analysis,explanatory discussion
Anyone knows what was the live odd at half time?,question,direct question
"In a finals I'm sure, but not considering the regular season.",analysis,qualification and reasoning
"Yes, yes it is.",reaction,short reaction
Has to be. What an insane outcome.,reaction,emotional response
Spurs need to pay Michael Jordan to be in the arenas.,reaction,joke
Huge difference between the first two quarters and the last two quarters.,analysis,observation
yes,reaction,short reaction
Cavs resting easy tonight after that one.,reaction,joke/reaction
Correct. Middle finger to the president in farts.,reaction,joke/nonsense
This may actually shape Wemby into one of the greatest of all time.,hot_take,speculative prediction
Well we now have a new meme.,reaction,observation/reaction
The whole series is a display of chokiness.,hot_take,strong opinion
No fucking way dude holy shit.,reaction,emotional reaction
text,label,notes
These are some of the most reactionary rankings I have ever seen,reaction,emotional criticism
Winners bias. Very unserious rankings,reaction,dismissive reaction
"Yeah all 3 of the Knicks best players are far too high especially OG and KAT, lots of recency bias",analysis,explanation and reasoning
Towns at 8 when he averaged 15/10 in the playoffs and a subpar finals is ridiculous,analysis,uses evidence
Knicks fans took over the polls,hot_take,unsupported claim
"Jokic at the top despite a massive playoff fail, but Brunson all the way at 2 due to an epic run",analysis,compares evidence
It's like a weird mishmash of preconceived opinions and reactionary nonsense,analysis,evaluates methodology
Does that say OG Anunoby 11,question,rhetorical question
Surprised Shai isn't like 8 with the way this sub has talked about him,analysis,commentary on voting trends
"3 is still pretty low, pretty much every list has him a consensus 1",analysis,comparison to other rankings
This sub does not know ball lol,reaction,emotional criticism
For something this reactionary I'm surprised they gave Jokic the benefit of the doubt,analysis,observation with reasoning
This sub loves Jokic,hot_take,unsupported assertion
"Brunson over SGA, Wemby, and Luka is the definition of reactionary",hot_take,strong opinion
Donovan Mitchell 17 and Devin Booker 18 made me pretty happy,reaction,personal reaction
Why isn't Tyler Kolek number 1,question,humorous question
Jaren Jackson Jr not even a top 100 player?,question,question/challenge
"I love OG, but the hell is he doing at 11th spot?",question,rhetorical question
"Brunson at 2, I feel like I'm taking crazy pills",reaction,emotional response
"Jokic, SGA, Wemby, Luka, and Giannis are the top 5. Any other list is wrong.",hot_take,definitive ranking claim
And just like that r/nba has lost any legitimacy it may have had,reaction,emotional criticism
OG over Cade Cunningham means this list is not valid at all,hot_take,strong opinion
Lol,reaction,reaction only
Tyrese Haliburton goes from a top 15 player to not in the top 100,reaction,disbelief
so this is mostly terrible,reaction,emotional criticism
Everybody is better than Jalen Brunson until it's time to make the year-end poll,hot_take,opinion
Brunson at 2 is freaking wild and I really like that dude,reaction,emotional response
It's a shame this got brigaded by Knicks fans,hot_take,unsupported claim
They're calling it the worst list in history,hot_take,ranking/opinion
"unsurprisingly, this list is terrible because this sub doesn't know ball",reaction,criticism
brunson at 2 lol,reaction,reaction
What are the greatest NBA games of all time? And where can I watch them?,question,information-seeking question
2017 Xmas day matchup Warriors-Cavs. Idk YouTube maybe?,analysis,recommendation
2016 Finals Games 6 and 7,analysis,recommendation
2016 warriors/thunder regular season game from February. Curry's double bang three at the end.,analysis,recommendation with explanation
"Mind you this game has Curry, Klay, KD, and Westbrook all in their PRIME.",analysis,supporting evidence
Man times flies I still remember I was watching it live,reaction,nostalgia
"1998 Game 6 Finals, 1991 Finals Game 5, 1997 Flu Game, 2016 WCF Game 6.",analysis,multiple recommendations
1998 NBA Finals Game 6,analysis,recommendation
"Before I check the comments I'm expecting 1998 Finals Game 6, 2010 Finals Game 7, 2016 Finals Game 7, Kobe 81...",analysis,discussion of likely answers
"Oh, a man/woman of taste, I see",reaction,praise
Bulls Celtics Game 6 2009.,analysis,recommendation
This rivalry era was super underrated!,hot_take,opinion
Lakers v Portland 2000,analysis,recommendation
"2011-12 OKC vs TWolves Double OT, super underrated",hot_take,opinion/ranking
NBA 2k11,reaction,joke answer
1993 eastern conference finals game 5,analysis,recommendation
Bulls vs Celtics 4/30/09,analysis,recommendation
"Celtics - Blazers, March 15, 1992",analysis,recommendation
NBA Finals Game 5 1976 Celtics/Suns 3 OT game,analysis,recommendation
"MJ double nickel game, Ray Allen game, KD foot on the line game, Giannis 50 game",analysis,recommendations
"A deep cut, NJ Nets vs Phoenix Suns December 7 2006 matchup",analysis,recommendation
February 2016 Warriors vs Thunder,analysis,recommendation
Suns/Spurs western conference playoffs double OT thriller,analysis,recommendation
Houston v Portland 2014 Round 1 Game 6,analysis,recommendation
Internetarchive.org,analysis,answers where to watch
Definitely a contender,hot_take,opinion
"NBA for dummies? I started watching recently, and I am very confused.",question,asks for help understanding NBA
What are things everyone should know when watching the games?,question,information-seeking
When is the season? When does it start and end?,question,direct question
What do the different game numbers mean?,question,direct question
Season is roughly Oct to May with a total of 82 games played.,analysis,explanatory answer
Game 7s are generally the best as everything is decided in that one game.,analysis,explanation
Just watch the games and you'll quickly pick up what you think is cool.,analysis,advice
Chicago plays with the most heart and grit of any team right now.,hot_take,opinion
Kevin Durant being ice-blooded at the end of games.,hot_take,opinion
Indiana is a great team.,hot_take,opinion
The Knicks have two of the best raw scorers in the league.,hot_take,opinion
The Spurs have been the most consistent franchise in any sport over the last decade.,hot_take,strong claim
You watch the Warriors and you'll love them.,hot_take,opinion
They are a young scrappy group of kids who happen to be able to ball.,hot_take,opinion
Tune into games 3 and 4 to see what the best crowd in the NBA looks like.,hot_take,opinion
"This is fantastic, thank you so much.",reaction,appreciation
Hope you enjoy this year's playoffs and good luck on finals.,reaction,friendly response
jamin_brook is a fan of those Golden State Warriors.,reaction,humorous observation
Go DUBS!!!!,reaction,fan reaction
I'm looking to see a Golden State vs Knicks final.,hot_take,prediction/preference
Can you use your magic powers and make it happen?,question,humorous question
"Slight correction: The shortened season was 66 games, not 50.",analysis,factual correction
You should get to know all of the positions and the basic rules.,analysis,advice
I've been reading through Basketball for Dummies.,reaction,personal statement
"No worries, you'll pick it up as you go.",reaction,reassurance
Basketball is one of the easier sports to understand by watching.,hot_take,opinion
You should try playing NBA 2K.,analysis,recommendation
I have 2-3 questions too.,question,explicit question
How hard can you fight for a rebound?,question,direct question
What is called a foul and what is not?,question,direct question
Sometimes the refs ask players to hand the ball to them and sometimes not. Is there a rule for that?,question,direct question
Usually the refs hand the ball to players during dead ball situations.,analysis,explanation
Here is a pretty accurate definition of a loose ball foul.,analysis,explanation
The season starts generally during the final days of October.,analysis,factual explanation
Every playoff series is a best of 7.,analysis,factual explanation
"In the playoffs, teams play against each other in a best-of-7 series.",analysis,explanation
I hope I answered your question.,reaction,conversational response
I started watching basketball at age 8 and have been hooked ever since.,reaction,personal reaction
Who is the face of basketball right now?,question,discussion question
Having Angel Reese in this conversation is disrespectful to the game of basketball,hot_take,strong opinion
People seriously gotta stop trying to make Angel Reese happen,hot_take,strong opinion
She has the best face out of these though,reaction,joke response
I'm a straight dude and I think Ant looks better than her,reaction,humorous response
Wemby,hot_take,answer without reasoning
Luka,hot_take,answer without reasoning
Jaden Ivey,hot_take,answer without reasoning
Bruh Angel Reese really,reaction,disbelief
Until he retires it's still Bron,hot_take,opinion
He's lost his grip on the NBA for a bit now,hot_take,opinion
"It's def Bam ""83"" Adebayo",reaction,joke answer
For casuals LeBron is still the face of the NBA,analysis,reasoning about audience
Luka,hot_take,answer without reasoning
It's Vic. Wemby!,hot_take,answer without reasoning
Scott Foster,reaction,joke answer
Angel Reese is the face of Sid the Sloth,reaction,joke/insult
LeBron/Luka,hot_take,opinion
My nieces collect Caitlin Clark cards and watch her games,analysis,uses anecdotal evidence
Every male basketball fan also knows who Caitlin Clark is,hot_take,sweeping claim
She is without a doubt the most famous basketball player under 35,hot_take,strong assertion
You can use IG followers and quickly tell that's not true,analysis,evidence-based rebuttal
Angel is making the most moves and continues to,hot_take,unsupported opinion
Steph,hot_take,answer without reasoning
"LeBron for now, probably Wemby after he's retired",analysis,present claim plus prediction
Angel Reese easily,hot_take,unsupported opinion
Where's my wife Hailey Van Lith???,reaction,joke response
It's LeBron James for now. Wemby will be his successor,analysis,explanation and prediction
LeBron obviously,hot_take,unsupported opinion
Julian should be there over Angel,hot_take,opinion
Luka,hot_take,answer without reasoning
To what extent was Mara being drafted by OKC affected by Wemby?,question,discussion question
I think Chet might be even happier than AJ tonight.,hot_take,speculative opinion
Knowing he finally has a strong big man to anchor the paint and will never be made to look like someone's bitch again,hot_take,strong opinion
I don't think much to be honest. I think they drafted him because they're gonna have to move Hartenstein.,analysis,reasoning
I don't see a situation where a 7'3 guy isn't drafted to stop the 7'5 guy.,hot_take,strong claim
Are you really watching this guy and thinking he's a Wemby stopper?,question,rhetorical question
I think they drafted him for his offensive upside.,analysis,reasoning
Didn't they draft Sorber too last year?,question,direct question
They have way more guards than bigs.,analysis,roster analysis
"Chances of Dort, Hart, Joe, and Wiggins still being on the roster are low.",hot_take,prediction
Blazers fan here. This was the last team I was hoping would pick Mara.,reaction,emotional response
Mara seems like he's slow.,hot_take,opinion
He is compared to guys who are 6'6.,analysis,explanation
He's reasonably mobile for his size.,analysis,evaluation
"Chet, who is arguably the 2nd best defender in the league, can't stop Wemby.",hot_take,strong claim
Chet lost due to being bullied.,hot_take,opinion
Mara is way taller and has a much better reach.,analysis,comparison
It was more affected by the massive contract of Hartenstein.,analysis,reasoning
I've never watched Mara play. Is he elite?,question,direct question
Hart?,question,clarification question
Hart is gonna get expensive after his current contract.,analysis,reasoning
Acting like he wasn't ranked that high pre-draft.,analysis,rebuttal
Did you see how happy Sam Presti was after landing Mara?,question,rhetorical question
Dude acted like he just won a million on scratchers.,reaction,humorous reaction
He knows how good Mara can be.,hot_take,opinion
I'm so bummed Golden State didn't take him.,reaction,emotional response
Presti always gets the best packages.,hot_take,opinion
I still don't get how he fleeced us for McCain.,reaction,frustration
The discussion is basically about whether Wembanyama created a scouting trend.,analysis,explanation
100%,reaction,agreement
He's 7'3.,analysis,factual observation
Thunder have SGA the goat.,hot_take,opinion
Shai is not guarding Wemby though.,analysis,reasoning
Everyone is just looking for a taller Jokic.,hot_take,opinion
This is like when teams drafted huge centers to slow down Shaq.,analysis,comparison
Wemby stopper.,hot_take,opinion
His comp is Marc Gasol.,analysis,player comparison
I think they like the idea of twin towers defense in the playoffs.,analysis,reasoning
10000,reaction,exaggerated agreement
Great questions to talk about to NBA fans?,question,asking for discussion topics
"One example is ""What is the worst trade that has happened within the last 5 years?""",question,subjective discussion question
Would you rather your team gets Jalen McDaniels or a bag of Coffee-Flavoured Doritos?,question,hypothetical question
Do the Doritos also come with $9m?,question,follow-up question
That works. Maybe an extra bag of Kimchi flavoured Lays too.,reaction,humorous response
"They got Doritos, but we got Jaden McDaniels.",reaction,joke response
Would you rather party with Josh Giddey or Karl Malone and why?,question,hypothetical discussion question
"If a regulation NBA basketball weighed 25lbs, who ends next season with the most made 3s?",question,hypothetical discussion question
Bonus round; who are you drafting next year if the incoming draft class is made up entirely of Warhammer 40k characters?,question,hypothetical discussion question
Angron might kill someone but he'd be prime Shaq if the Butcher's Nails let him think.,hot_take,humorous opinion
I was gonna go Nurgle but he may violate health and safety protocols by even existing.,reaction,humorous response
Which current player would make the worst head coach?,question,discussion question
Jordan Poole final answer.,hot_take,opinion without reasoning
"If the moon were made of cheese, would you eat it?",question,joke question
Are the troll comments ruining your ability to use GenAI to create zero effort listicles?,question,sarcastic question
My friends and I always talk about players we thought would be stars when drafted but didn't turn out.,analysis,discussion suggestion
Is Jimmy related to MJ? Why or why not?,question,joke discussion question
Will anyone run the inverse flex offense again?,question,basketball discussion question
What teams would be best suited for it as currently constructed?,question,discussion question
Favorite player?,question,discussion question
Who has the best handle?,question,discussion question
Favorite player that's not a star? And why?,question,discussion question
